"Status","Name","Duration in ms","Description"
"failed","com.icndb.random_jokes.TestRandomJokes.testCountOfRandomJokesNegative","204",""
"failed","com.icndb.categories.TestExcludeCategories.testExcludeCategoriesNegative","1172",""
"failed","com.icndb.categories.TestLimitToCategories.testLimitToCategoriesNegative","191",""
"failed","com.icndb.random_jokes.TestRandomJokes.testCountOfRandomJokesNegative","984",""
"passed","com.icndb.categories.TestLimitToCategories.testLimitToCategoriesPositive","2388",""
"failed","com.icndb.categories.TestLimitToCategories.testLimitToCategoriesNegative","619",""
"failed","com.icndb.random_jokes.TestRandomJokes.testCountOfRandomJokesPositive","430",""
"passed","com.icndb.categories.TestExcludeCategories.testExcludeCategoriesPositive","6978",""
"failed","com.icndb.categories.TestLimitToCategories.testLimitToCategoriesNegative","520",""
"passed","com.icndb.jokes.TestJokes.testJokesByIdPositive","357",""
"passed","com.icndb.random_jokes.TestRandomJokes.testRandomJoke","1232",""
"passed","com.icndb.categories.TestLimitToCategories.testLimitToCategoriesPositive","963",""
"passed","com.icndb.categories.TestExcludeCategories.testExcludeCategoriesPositive","8754",""
"passed","com.icndb.random_jokes.TestRandomJokes.testCountOfRandomJokesPositive","353",""
"failed","com.icndb.categories.TestExcludeCategories.testExcludeCategoriesNegative","1391",""
"failed","com.icndb.jokes.TestJokes.testJokesByIdNegative","188",""
"failed","com.icndb.categories.TestCategories.testIncorrectCategories","259",""
"passed","com.icndb.categories.TestExcludeCategories.testExcludeCategoriesPositive","11176",""
"failed","com.icndb.jokes.TestJokes.testIncorrectEndPointJokes","175",""
"failed","com.icndb.categories.TestExcludeCategories.testExcludeCategoriesNegative","432",""
"failed","com.icndb.random_jokes.TestRandomJokes.testCountOfRandomJokesNegative","249",""
"passed","com.icndb.random_jokes.TestRandomJokes.testCountOfRandomJokesPositive","1460",""
"passed","com.icndb.random_jokes.TestRandomJokes.testCountOfRandomJokesPositive","199",""
"passed","com.icndb.jokes.TestJokes.testCountOfJokes","506",""
"failed","com.icndb.categories.TestLimitToCategories.testLimitToCategoriesNegative","183",""
"passed","com.icndb.random_jokes.TestRandomJokes.testChangeOfFirstnameAndLastname","581",""
"passed","com.icndb.jokes.TestJokes.testJokesByIdPositive","802",""
"failed","com.icndb.random_jokes.TestRandomJokes.testCountOfRandomJokesNegative","402",""
"failed","com.icndb.jokes.TestJokes.testIncorrectEndPointAfterJokes","1180",""
"passed","com.icndb.categories.TestCategories.testAllCategories","4916",""
"failed","com.icndb.categories.TestExcludeCategories.testExcludeCategoriesNegative","693",""
"passed","com.icndb.jokes.TestJokes.testCountOfDisplayedJokes","368",""
"passed","com.icndb.jokes.TestJokes.testJokesByIdNegative","234",""
"passed","com.icndb.jokes.TestJokes.testJokesByIdPositive","204",""
"failed","com.icndb.jokes.TestJokes.testJokesByIdNegative","1333",""
"passed","com.icndb.categories.TestLimitToCategories.testLimitToCategoriesPositive","1573",""
